,Entity,Code,Year,HIV Deaths,HIV Incidences,Life expectancy,Population,TB Deaths,Child Mortality,Cardiovascular Deaths
138,Qatar,QAT,2016,6.961500784,10.50164461,80.227,2832000,7.288447936,24072.0,693648.3837647999
139,Romania,ROU,2016,165.4361896,849.3631396,76.054,19365000,1008.6079900000001,174285.00000000003,10743105.5831745
140,Russia,RUS,2016,19301.83747,138843.4596,72.584,145872000,10564.94202,1123214.4000000001,79524100.10799359
141,Rwanda,RWA,2016,2962.5758809999998,6321.8461560000005,69.024,12627000,4564.285314,486139.5,1504842.6870243
142,Saint Lucia,LCA,2016,7.829778559,8.773299233,76.203,183000,4.027602407,2433.9,58099.162006800005
143,Saint Vincent and the Grenadines,VCT,2016,20.14340989,20.94206883,72.53399999999999,111000,2.649768134,1842.6,38439.7491282
144,Samoa,WSM,2016,9.090374448,26.44452744,73.321,197000,7.6706395789999995,3408.1,74701.9439844
145,Sao Tome and Principe,STP,2016,0.20494678100000002,1.5422002419999998,70.385,215000,24.042351999999998,7266.999999999999,48649.435008500004
146,Saudi Arabia,SAU,2016,525.8028674999999,672.6560114,75.133,34269000,678.8618723999999,442070.1,11440439.1331332
147,Senegal,SEN,2016,1803.991249,2870.309067,67.941,16296000,5250.0758479999995,767541.6000000001,2753664.4352783994
148,Serbia,SRB,2016,72.50413838,130.2744371,76.001,8772000,139.5458824,50877.6,4759991.2629587995
149,Seychelles,SYC,2016,5.790631186000001,5.816043098,73.402,98000,1.719032074,1401.4,30332.4700196
150,Sierra Leone,SLE,2016,2190.557363,2962.180093,54.696000000000005,7813000,3503.234173,886775.4999999999,1061487.9847897
151,Singapore,SGP,2016,32.67192725,168.81050459999997,83.62,5804000,19.55807063,16251.200000000003,1802260.8287744
152,Slovakia,SVK,2016,3.90770012,22.98517473,77.542,5457000,29.99897445,32196.3,2607042.7400898
153,Slovenia,SVN,2016,2.471720641,11.48524927,81.324,2079000,13.45816797,4781.7,778196.6249211
154,Solomon Islands,SLB,2016,28.07613071,79.75080771,72.99600000000001,670000,58.86475224,17286.0,204934.384787
155,Somalia,SOM,2016,2392.795878,2382.252406,57.397,15443000,12696.58528,2046197.5,1914651.2431714002
156,South Africa,ZAF,2016,135398.6078,276495.965,64.131,58558000,19624.01564,2535561.4,9447808.7901382
157,South Korea,KOR,2016,147.5580903,1307.226253,83.03299999999999,51225000,2975.850954,174165.0,11418520.5889275
158,South Sudan,SSD,2016,3706.7035509999996,4202.904968,57.846000000000004,11062000,5471.728475,1003323.4,957288.45049348
159,Spain,ESP,2016,708.3444228999999,6532.455336999999,83.565,46737000,386.8076804,154232.1,13866517.190225702
160,Sri Lanka,LKA,2016,55.80751755,290.6578246,76.97800000000001,21324000,773.2472455,200445.59999999998,7086519.261492
161,Sudan,SDN,2016,5296.1810350000005,6569.349715,65.311,42813000,1221.099726,2787126.3,14142230.4864942
162,Suriname,SUR,2016,101.78750009999999,207.39944880000002,71.682,581000,9.198063625,11620.0,188668.7738061
163,Sweden,SWE,2016,22.76909767,625.6844565,82.79700000000001,10036000,79.11376768,29104.399999999998,3729263.1364092007
164,Switzerland,CHE,2016,38.33975195,653.8993054,83.779,8591000,32.9350868,35223.1,2831625.8652186994
165,Syria,SYR,2016,11.31070418,41.7699225,72.697,17070000,58.07176752,326429.61000000004,6169000.492746001
166,Tajikistan,TJK,2016,44.52429908,575.0909393,71.097,9321000,780.025196,401735.1,3549718.4405397
167,Tanzania,TZA,2016,28298.592210000003,50459.37955,65.456,58005000,20391.08167,3288883.5,7491185.157357001
168,Thailand,THA,2016,19371.992280000002,24539.78854,77.15,69626000,6225.920695000001,849437.2,15286188.1809508
169,Timor,TLS,2016,222.65103560000003,250.2002554,69.495,1293000,222.16032140000002,64262.09999999999,410590.9335456
170,Togo,TGO,2016,3874.5986439999997,3684.005764,61.042,8082000,2349.203073,611807.4,1214328.008178
171,Tonga,TON,2016,1.22362087,2.5850788280000003,70.907,104000,3.594786584,1705.5999999999997,24964.4581264
172,Trinidad and Tobago,TTO,2016,219.4471582,413.9433452,73.507,1395000,21.13569467,25807.500000000004,479050.80516449997
173,Tunisia,TUN,2016,193.6858258,430.5729282,76.699,11695000,131.1005341,159052.0,6021870.5682745
174,Turkey,TUR,2016,200.1701872,473.9042653,77.691,83430000,751.1631053,1059561.0,30399071.865768
175,Turkmenistan,TKM,2016,99.45876642,160.1615122,68.191,5942000,514.6935605,303042.0,3162406.8574194005
176,Uganda,UGA,2016,25920.09513,40265.97552,63.368,44270000,14181.29485,2346310.0,4358451.4342044005
177,Ukraine,UKR,2016,5075.778565,27910.3003,72.065,43994000,3752.966498,400345.4,27250735.5174136
178,United Arab Emirates,ARE,2016,204.94864330000001,237.11229840000001,77.972,9771000,79.87458028,75236.7,2720909.9837856
179,United Kingdom,GBR,2016,264.0830948,7149.00074,81.321,67530000,387.8862759,290379.0,19597008.00204
180,United States,USA,2016,7342.708024,51265.57655,78.862,329065000,939.1084308000001,2138922.5,103897162.0213835
181,United States Virgin Islands,VIR,2016,8.965104006,14.66306168,80.583,105000,0.869959575,1048.215,39626.9460405
182,Uruguay,URY,2016,180.55948659999999,828.2531931,77.911,3462000,56.58622073,31850.399999999998,1023957.6977609999
183,Uzbekistan,UZB,2016,601.3913057,2196.342413,71.725,32982000,2513.116266,794866.2,18520053.2105886
184,Vanuatu,VUT,2016,13.44969289,38.34018908,70.47399999999999,300000,28.08262314,8280.0,107046.00939
185,Venezuela,VEN,2016,2127.5699600000003,8195.995527,72.064,28516000,786.7109280000001,464810.79999999993,8708937.6403092
186,Vietnam,VNM,2016,11434.04718,19075.49598,75.4,96462000,17594.454380000003,2083579.2000000002,32003301.127971597
187,Yemen,YEM,2016,387.3831753,1082.582833,66.125,29162000,1021.099125,1612658.6,9440899.9397006
188,Zambia,ZMB,2016,21806.82435,46838.91087,63.886,17861000,8306.847486,1132387.4,1835576.3488692
189,Zimbabwe,ZWE,2016,16065.32968,56259.05594,61.49,14645000,11958.06653,825978.0,2113381.252052
